Region,Province,City_Mun,Storm Name,Category,Days occur,Year, Affected_FAM ,Totally damaged house,Partially damaged house,,Region,,Year,,Region,Province,Municipality,Magnitude,Incident,Year,Affected Population_FAM,Totally House,Partially House,,Cyclone Name,Category,Days cccur,,CYCLONE DATA,,,,,,,EARTHQUAKE DATA,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Isabela,Dinapigue,Falcon,Tropical Storm,3 5/6,15/07/2019, -   ,0,0,,,,15/07/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),City Of Kidapawan (Capital),6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,Ursula,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Isabela,Divilacan,Falcon,Tropical Storm,3 5/6,15/07/2019, -   ,0,0,,,,15/07/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Magpet,6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,Grand Total,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Isabela,Maconacon,Falcon,Tropical Storm,3 5/6,15/07/2019, -   ,0,0,,,,15/07/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Makilala,6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Isabela,Palanan,Falcon,Tropical Storm,3 5/6,15/07/2019, -   ,0,0,,,,15/07/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Matalam,6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Sur,Cervantes,Hanna,Tropical Storm,5 3/7,03/08/2019, 1 ,0,1,,,,03/08/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),M'Lang,6.8,Matanao 6.9 EQ,15/12/2019,37,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,Bagac,Hanna,Tropical Storm,5 3/7,03/08/2019, 10 ,0,0,,,,03/08/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),President Roxas,6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,City of Balanga (capital),Hanna,Tropical Storm,5 3/7,03/08/2019, 242 ,0,0,,,,03/08/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Tulunan,6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,Hermosa,Hanna,Tropical Storm,5 3/7,03/08/2019," 8,370 ",0,0,,,,03/08/2019,,REGION XI (DAVAO REGION),Davao Occidental,Malita (Capital),6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,Morong,Hanna,Tropical Storm,5 3/7,03/08/2019," 1,048 ",42,3,,,,03/08/2019,,REGION XI (DAVAO REGION),Davao Occidental,Santa Maria,6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,Orion,Hanna,Tropical Storm,5 3/7,03/08/2019, 17 ,0,0,,,,03/08/2019,,REGION XII (SOCCSKSARGEN),South Cotabato,Tupi,6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,Pilar,Hanna,Tropical Storm,5 3/7,03/08/2019, 30 ,0,0,,,,03/08/2019,,REGION XII (SOCCSKSARGEN),Sultan Kudarat,Columbio,6.8,Matanao 6.9 EQ,15/12/2019,153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bulacan,Calumpit,Hanna,Tropical Storm,5 3/7,03/08/2019," 6,412 ",0,0,,,,03/08/2019,,REGION XII (SOCCSKSARGEN),Sarangani,Malungon,6.8,Matanao 6.9 EQ,15/12/2019,175,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Pampanga,Apalit,Hanna,Tropical Storm,5 3/7,03/08/2019, 390 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Bataan,Abucay,6.1,Castillejos 6.1 EQ,22/04/2019,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Pampanga,Bacolor,Hanna,Tropical Storm,5 3/7,03/08/2019, 7 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Bataan,Bagac,6.1,Castillejos 6.1 EQ,22/04/2019,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Pampanga,Lubao,Hanna,Tropical Storm,5 3/7,03/08/2019, 1 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Bataan,Hermosa,6.1,Castillejos 6.1 EQ,22/04/2019,107,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Botolan,Hanna,Tropical Storm,5 3/7,03/08/2019, 574 ,1,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Bataan,Orani,6.1,Castillejos 6.1 EQ,22/04/2019,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Cabangan,Hanna,Tropical Storm,5 3/7,03/08/2019, 52 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Pampanga,City Of Angeles,6.1,Castillejos 6.1 EQ,22/04/2019,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Castillejos,Hanna,Tropical Storm,5 3/7,03/08/2019, 31 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Pampanga,Bacolor,6.1,Castillejos 6.1 EQ,22/04/2019,39,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Masinloc,Hanna,Tropical Storm,5 3/7,03/08/2019, 8 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Pampanga,Floridablanca,6.1,Castillejos 6.1 EQ,22/04/2019,"1,867",189,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,City of Olongapo,Hanna,Tropical Storm,5 3/7,03/08/2019, 4 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Pampanga,Guagua,6.1,Castillejos 6.1 EQ,22/04/2019,85,17,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,San Antonio,Hanna,Tropical Storm,5 3/7,03/08/2019, 172 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Pampanga,Lubao,6.1,Castillejos 6.1 EQ,22/04/2019,320,11,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,San Felipe,Hanna,Tropical Storm,5 3/7,03/08/2019, 3 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Pampanga,Mexico,6.1,Castillejos 6.1 EQ,22/04/2019,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,San Marcelino,Hanna,Tropical Storm,5 3/7,03/08/2019, 750 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Pampanga,Porac,6.1,Castillejos 6.1 EQ,22/04/2019,"2,034",753,"1,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Santa Cruz,Hanna,Tropical Storm,5 3/7,03/08/2019, 2 ,3,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Pampanga,City Of San Fernando (Capital),6.1,Castillejos 6.1 EQ,22/04/2019,18,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
