Region,Province,City_Mun,Storm Name,Category,Days occur,Year, Affected_FAM ,Totally damaged house,Partially damaged house,,Region,,Year,,Region,Province,Municipality,Magnitude,Incident,Year,Affected Population_FAM,Totally House,Partially House,,Cyclone Name,Category,Days cccur,,CYCLONE DATA,,,,,,,EARTHQUAKE DATA,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Agdangan,Tisoy,Typhoon,4 5/8,30/11/2019, 655 ,611,44,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Alabat,Tisoy,Typhoon,4 5/8,30/11/2019, 74 ,67,7,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Atimonan,Tisoy,Typhoon,4 5/8,30/11/2019," 1,659 ",83,8,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Buenavista,Tisoy,Typhoon,4 5/8,30/11/2019," 1,681 ",0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Calauag,Tisoy,Typhoon,4 5/8,30/11/2019," 1,720 ",0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Candelaria,Tisoy,Typhoon,4 5/8,30/11/2019, 18 ,15,3,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Catanauan,Tisoy,Typhoon,4 5/8,30/11/2019," 2,736 ",0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Dolores,Tisoy,Typhoon,4 5/8,30/11/2019, 913 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,General Luna,Tisoy,Typhoon,4 5/8,30/11/2019, 481 ,438,43,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Guinayangan,Tisoy,Typhoon,4 5/8,30/11/2019, 257 ,240,17,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Gumaca,Tisoy,Typhoon,4 5/8,30/11/2019, 283 ,227,56,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Lopez,Tisoy,Typhoon,4 5/8,30/11/2019, 572 ,519,53,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Macalelon,Tisoy,Typhoon,4 5/8,30/11/2019, 996 ,939,57,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Mulanay,Tisoy,Typhoon,4 5/8,30/11/2019, 385 ,26,359,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Padre Burgos,Tisoy,Typhoon,4 5/8,30/11/2019, 825 ,720,105,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Perez,Tisoy,Typhoon,4 5/8,30/11/2019, 263 ,215,48,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Pitogo,Tisoy,Typhoon,4 5/8,30/11/2019, 601 ,568,33,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Plaridel,Tisoy,Typhoon,4 5/8,30/11/2019, 796 ,791,5,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Quezon,Tisoy,Typhoon,4 5/8,30/11/2019, 186 ,180,6,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Real,Tisoy,Typhoon,4 5/8,30/11/2019, 284 ,265,19,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Sampaloc,Tisoy,Typhoon,4 5/8,30/11/2019, 329 ,320,3,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,San Andres,Tisoy,Typhoon,4 5/8,30/11/2019," 2,819 ",0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,San Antonio,Tisoy,Typhoon,4 5/8,30/11/2019, 125 ,13,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,San Francisco (Aurora),Tisoy,Typhoon,4 5/8,30/11/2019," 2,224 ",0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Tagkawayan,Tisoy,Typhoon,4 5/8,30/11/2019," 1,979 ",1326,78,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Tiaong,Tisoy,Typhoon,4 5/8,30/11/2019, 418 ,52,5,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,Unisan,Tisoy,Typhoon,4 5/8,30/11/2019, 393 ,362,31,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Marinduque,Gasan,Tisoy,Typhoon,4 5/8,30/11/2019, 968 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Marinduque,Santa Cruz,Tisoy,Typhoon,4 5/8,30/11/2019, 602 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Abra de Ilog,Tisoy,Typhoon,4 5/8,30/11/2019, 906 ,49,403,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Calintaan,Tisoy,Typhoon,4 5/8,30/11/2019, 280 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Looc,Tisoy,Typhoon,4 5/8,30/11/2019, 254 ,0,86,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Lubang,Tisoy,Typhoon,4 5/8,30/11/2019," 1,137 ",11,803,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Magsaysay,Tisoy,Typhoon,4 5/8,30/11/2019, 850 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Rizal,Tisoy,Typhoon,4 5/8,30/11/2019, 617 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Santa Cruz,Tisoy,Typhoon,4 5/8,30/11/2019, 252 ,5,218,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Baco,Tisoy,Typhoon,4 5/8,30/11/2019, 351 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Bansud,Tisoy,Typhoon,4 5/8,30/11/2019," 1,180 ",0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Bongabong,Tisoy,Typhoon,4 5/8,30/11/2019, 704 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Bulalacao (San Pedro),Tisoy,Typhoon,4 5/8,30/11/2019, 999 ,95,15,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Gloria,Tisoy,Typhoon,4 5/8,30/11/2019, 289 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Naujan,Tisoy,Typhoon,4 5/8,30/11/2019, 923 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Pinamalayan,Tisoy,Typhoon,4 5/8,30/11/2019, 444 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Pola,Tisoy,Typhoon,4 5/8,30/11/2019, 15 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Roxas,Tisoy,Typhoon,4 5/8,30/11/2019," 1,013 ",0,113,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,San Teodoro,Tisoy,Typhoon,4 5/8,30/11/2019, 368 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Socorro,Tisoy,Typhoon,4 5/8,30/11/2019, 331 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,Victoria,Tisoy,Typhoon,4 5/8,30/11/2019, 589 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Alcantara,Tisoy,Typhoon,4 5/8,30/11/2019, 47 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Banton,Tisoy,Typhoon,4 5/8,30/11/2019, 505 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Cajidiocan,Tisoy,Typhoon,4 5/8,30/11/2019, 98 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Calatrava,Tisoy,Typhoon,4 5/8,30/11/2019, 62 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Concepcion,Tisoy,Typhoon,4 5/8,30/11/2019, 354 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Corcuera,Tisoy,Typhoon,4 5/8,30/11/2019, 378 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Ferrol,Tisoy,Typhoon,4 5/8,30/11/2019, 245 ,1,7,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Looc,Tisoy,Typhoon,4 5/8,30/11/2019, 269 ,17,264,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Magdiwang,Tisoy,Typhoon,4 5/8,30/11/2019, 250 ,20,136,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Odiongan,Tisoy,Typhoon,4 5/8,30/11/2019, 202 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Romblon (capital),Tisoy,Typhoon,4 5/8,30/11/2019, 30 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,San Agustin,Tisoy,Typhoon,4 5/8,30/11/2019, 175 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,San Andres,Tisoy,Typhoon,4 5/8,30/11/2019, 115 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Santa Fe,Tisoy,Typhoon,4 5/8,30/11/2019, 58 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,Santa Maria (Imelda),Tisoy,Typhoon,4 5/8,30/11/2019, 74 ,0,0,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Bacacay,Tisoy,Typhoon,4 5/8,30/11/2019," 1,534 ",500,7959,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Camalig,Tisoy,Typhoon,4 5/8,30/11/2019," 3,351 ",385,3326,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Daraga (Locsin),Tisoy,Typhoon,4 5/8,30/11/2019," 25,320 ",595,6778,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Guinobatan,Tisoy,Typhoon,4 5/8,30/11/2019," 7,878 ",647,5799,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Jovellar,Tisoy,Typhoon,4 5/8,30/11/2019, 755 ,68,2286,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,City of Legazpi (capital),Tisoy,Typhoon,4 5/8,30/11/2019," 2,969 ",1195,7504,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Libon,Tisoy,Typhoon,4 5/8,30/11/2019," 5,628 ",530,8452,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,City of Ligao,Tisoy,Typhoon,4 5/8,30/11/2019, 363 ,436,6471,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Malilipot,Tisoy,Typhoon,4 5/8,30/11/2019," 1,784 ",132,3323,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Malinao,Tisoy,Typhoon,4 5/8,30/11/2019," 11,675 ",112,5575,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Manito,Tisoy,Typhoon,4 5/8,30/11/2019," 4,035 ",76,2465,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Oas,Tisoy,Typhoon,4 5/8,30/11/2019," 2,350 ",807,8932,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Pio Duran,Tisoy,Typhoon,4 5/8,30/11/2019, 657 ,509,3826,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Polangui,Tisoy,Typhoon,4 5/8,30/11/2019," 8,834 ",509,7217,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Rapu-Rapu,Tisoy,Typhoon,4 5/8,30/11/2019, 418 ,224,3711,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Santo Domingo (Libog),Tisoy,Typhoon,4 5/8,30/11/2019," 4,954 ",144,3977,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,City of Tabaco,Tisoy,Typhoon,4 5/8,30/11/2019," 10,755 ",1188,10251,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,Tiwi,Tisoy,Typhoon,4 5/8,30/11/2019," 1,241 ",242,6648,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,Basud,Tisoy,Typhoon,4 5/8,30/11/2019," 1,656 ",44,518,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,Capalonga,Tisoy,Typhoon,4 5/8,30/11/2019, 230 ,80,1944,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,Daet (capital),Tisoy,Typhoon,4 5/8,30/11/2019, 372 ,111,643,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,Jose Panganiban,Tisoy,Typhoon,4 5/8,30/11/2019," 1,998 ",11,262,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,Labo,Tisoy,Typhoon,4 5/8,30/11/2019, 892 ,147,1689,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,Mercedes,Tisoy,Typhoon,4 5/8,30/11/2019, 455 ,56,402,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,Paracale,Tisoy,Typhoon,4 5/8,30/11/2019, 381 ,386,1346,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,San Lorenzo Ruiz (Imelda),Tisoy,Typhoon,4 5/8,30/11/2019, 349 ,5,28,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,San Vicente,Tisoy,Typhoon,4 5/8,30/11/2019, 26 ,0,128,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,Santa Elena,Tisoy,Typhoon,4 5/8,30/11/2019," 1,197 ",84,1048,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,Talisay,Tisoy,Typhoon,4 5/8,30/11/2019, 116 ,89,545,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,Vinzons,Tisoy,Typhoon,4 5/8,30/11/2019," 2,478 ",100,995,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Baao,Tisoy,Typhoon,4 5/8,30/11/2019," 3,514 ",223,3199,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Balatan,Tisoy,Typhoon,4 5/8,30/11/2019," 1,684 ",436,3760,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Bato,Tisoy,Typhoon,4 5/8,30/11/2019," 5,921 ",428,4272,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Bombon,Tisoy,Typhoon,4 5/8,30/11/2019, 847 ,113,1672,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Buhi,Tisoy,Typhoon,4 5/8,30/11/2019, 700 ,949,7057,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Bula,Tisoy,Typhoon,4 5/8,30/11/2019, 261 ,332,2040,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Cabusao,Tisoy,Typhoon,4 5/8,30/11/2019," 3,533 ",174,1708,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Calabanga,Tisoy,Typhoon,4 5/8,30/11/2019," 4,650 ",456,5664,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Camaligan,Tisoy,Typhoon,4 5/8,30/11/2019, 394 ,61,1581,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Canaman,Tisoy,Typhoon,4 5/8,30/11/2019, 205 ,180,3010,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Caramoan,Tisoy,Typhoon,4 5/8,30/11/2019, 509 ,86,3383,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Del Gallego,Tisoy,Typhoon,4 5/8,30/11/2019, 506 ,15,588,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Gainza,Tisoy,Typhoon,4 5/8,30/11/2019, 106 ,47,907,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Garchitorena,Tisoy,Typhoon,4 5/8,30/11/2019, 629 ,116,2222,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Goa,Tisoy,Typhoon,4 5/8,30/11/2019," 1,494 ",147,3781,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,City of Iriga,Tisoy,Typhoon,4 5/8,30/11/2019," 6,833 ",961,7785,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Lagonoy,Tisoy,Typhoon,4 5/8,30/11/2019, 795 ,51,270,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Libmanan,Tisoy,Typhoon,4 5/8,30/11/2019," 3,496 ",384,6457,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Lupi,Tisoy,Typhoon,4 5/8,30/11/2019, 654 ,43,916,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Magarao,Tisoy,Typhoon,4 5/8,30/11/2019, 769 ,127,2035,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Milaor,Tisoy,Typhoon,4 5/8,30/11/2019," 1,654 ",112,2917,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Minalabac,Tisoy,Typhoon,4 5/8,30/11/2019," 3,790 ",179,2300,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Nabua,Tisoy,Typhoon,4 5/8,30/11/2019," 1,367 ",1171,7391,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,City of Naga,Tisoy,Typhoon,4 5/8,30/11/2019," 3,753 ",419,18544,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Ocampo,Tisoy,Typhoon,4 5/8,30/11/2019," 1,169 ",452,7827,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Pamplona,Tisoy,Typhoon,4 5/8,30/11/2019," 1,009 ",170,3302,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,Pasacao,Tisoy,Typhoon,4 5/8,30/11/2019," 1,356 ",263,2078,,,,30/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
